"logFC","AveExpr","t","P.Value","adj.P.Val","B","Gene","Significant"
1.42212178,7.95614474,3.68982385034401,0.00143600428149048,0.024633528867303,-1.07451702327818,"LRP8","Up"
1.41938023,6.222058915,4.04651420542723,0.000622640645675127,0.0158654608213506,-0.290286503659886,"SLC27A5","Up"
1.4128064,9.0263736,4.388065077753,0.000279413558168119,0.010397525757143,0.46420404301339,"BICC1","Up"
1.4104273,10.97141615,4.63915837460031,0.000155335611800956,0.00773612648971749,1.01776766701317,"SULF2","Up"
1.40802213,8.984459435,4.20210419343159,0.000432158603996478,0.0132609357838402,0.0533556429917459,"BAG2","Up"
1.40793077,8.647597725,3.67155587952937,0.00149858994315951,0.0252807151785606,-1.11444626277004,"AJUBA","Up"
1.3989418,10.0073191,3.34417400489039,0.00320518231630989,0.0377099085320802,-1.82362978066041,"HMGB3","Up"
1.39804244,6.92634131,3.93326225363035,0.0008121481590845,0.0181188393819172,-0.540023464389339,"TACC3","Up"
1.39436425,11.302578875,4.73292636143955,0.000124850220697173,0.00702256583535105,1.22381031781624,"COL4A2","Up"
1.3937297,4.99124933,3.83021505930589,0.00103402133763123,0.020696901319391,-0.766749792838398,"CSDC2","Up"
1.3933127,12.35356815,5.01868297698893,6.43812893332266e-05,0.0052480580011058,1.84829941390974,"FSTL1","Up"
1.38383901,9.653643305,3.17224900467282,0.00475655116949318,0.0469642621694266,-2.18963929037181,"ASPM","Up"
1.3813334,10.5055236,4.30478050346697,0.000339650281006567,0.0115177330850615,0.280234256687075,"PROS1","Up"
1.3801286,9.04555,3.23995277807001,0.00407360667383554,0.0432835909119929,-2.04614677195273,"MLLT11","Up"
1.37634465,10.654074525,4.0517966147094,0.00061496910670055,0.015766981046583,-0.278627494734911,"SERPINE2","Up"
1.37606985,12.473883825,5.03324621925911,6.22545476643873e-05,0.00519363427526687,1.87996207073548,"VCAN","Up"
1.37370729,7.444761305,3.25287861110694,0.00395455028800618,0.0423982582836084,-2.01865307321003,"MFAP3L","Up"
1.37132401,5.887145805,3.33677247185271,0.00326036494486585,0.038070025216281,-1.83949294357859,"RTKN2","Up"
1.35340594,8.40991256,3.23524283702161,0.00411785149335074,0.0435155637523462,-2.05615734107536,"VGLL3","Up"
1.3373829,9.11574975,4.13229973540225,0.000509088379689737,0.0141646635840913,-0.100865120512924,"KIF2C","Up"
1.33279801,8.604468795,3.58617114118238,0.00182876674915949,0.0277064943858154,-1.30064789900045,"KIF14","Up"
1.33262869,9.118477105,5.19578475021639,4.28422186861637e-05,0.00427174428369274,2.23208920395709,"PRRG1","Up"
1.32752167,7.473836005,3.85062554215724,0.000985744411538842,0.0202233846275073,-0.721889839991355,"EMILIN1","Up"
1.3223626,10.0323134,3.30792622150541,0.00348443761444393,0.0394576533041776,-1.90123135457287,"CCNB1","Up"
1.31840709,8.789907955,5.19010681295073,4.34034981299491e-05,0.00427174428369274,2.21982912026296,"MARVELD1","Up"
1.31476765,7.251171815,4.62100364773391,0.00016205612402682,0.00786511413378818,0.97782389732716,"ISLR","Up"
1.31022305,8.341869105,3.17129259731261,0.00476695497909656,0.046981014069481,-2.19165989740699,"ADAMTS9","Up"
